,freq,unit,sex,age,geo,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
30,A,NR,F,TOTAL,HR,,,,,,,,,,,,,,,,,,,,,,2374579.0,2384760.0,2397661.0,2409164.0,2419923.0,2430335.0,2439765.0,2448230.0,2454827.0,2459978.0,2464631.0,2379424.0,2366359.0,2412786.0,2419922.0,2379549.0,2354543.0,2356509.0,2351650.0,2334657.0,2231309.0,2236467.0,2236999.0,2236884.0,2238580.0,2238554.0,2237349.0,2234979.0,2233029.0,2228196.0,2221105.0,2213675.0,2205657.0,2197061.0,2186089.0,2167872.0,2149003.0,2123694.0,2103674.0,2086515.0,2071425.0,2000012.0,1989028.0
31,A,NR,F,TOTAL,HU,5157001.0,5177816.0,5198464.0,5208343.0,5223820.0,5238653.0,5250423.0,5267515.0,5286439.0,5305610.0,5318448.0,5334249.0,5348576.0,5365355.0,5381650.0,5411727.0,5443187.0,5469407.0,5492842.0,5507505.0,5520754.0,5524686.0,5526399.0,5523082.0,5515266.0,5508088.0,5501882.0,5494519.0,5488096.0,5481899.0,5389919.0,5393320.0,5397917.0,5398707.0,5396582.0,5395080.0,5392007.0,5385291.0,5377960.0,5369020.0,5356450.0,5349286.0,5337873.0,5323906.0,5312629.0,5304434.0,5292002.0,5287080.0,5275839.0,5267925.0,5257424.0,5241821.0,5207259.0,5192845.0,5173974.0,5159792.0,5141966.0,5122270.0,5106769.0,5096935.0,5088736.0,5066978.0,5044135.0,4974484.0
32,A,NR,F,TOTAL,IE,1406500.0,1402600.0,1405900.0,1414800.0,1422300.0,1428500.0,1433800.0,1440800.0,1447200.0,1453600.0,1464400.0,1478900.0,1499600.0,1523300.0,1548100.0,1573800.0,1598800.0,1621400.0,1642700.0,1668200.0,1687700.0,1708700.0,1728700.0,1743900.0,1756700.0,1767300.0,1763217.0,1775013.0,1773085.0,1767175.0,1763762.0,1770102.0,1782776.0,1793716.0,1801045.0,1810405.0,1822709.0,1840254.0,1859395.0,1878331.0,1900701.0,1927201.0,1961797.0,1994964.0,2025689.0,2062322.0,2104707.0,2167328.0,2231011.0,2268664.0,2288454.0,2301455.0,2315288.0,2326317.0,2342002.0,2364285.0,2387145.0,2416465.0,2438169.0,2475359.0,2506783.0,2528521.0,2556297.0,2666848.0
33,A,NR,F,TOTAL,IS,86082.0,87714.0,89410.0,90989.0,92606.0,94332.0,95906.0,97525.0,98979.0,100180.0,100886.0,101268.0,102568.0,104343.0,105726.0,107158.0,108509.0,109429.0,110269.0,111272.0,112509.0,113744.0,115182.0,116852.0,118447.0,119569.0,120482.0,121501.0,123201.0,125356.0,126353.0,127443.0,129480.0,130786.0,132113.0,133087.0,133648.0,134641.0,135937.0,137626.0,139384.0,141491.0,143125.0,144184.0,145169.0,146407.0,148689.0,151096.0,154563.0,157300.0,157694.0,158446.0,159211.0,160419.0,162353.0,163914.0,165259.0,167316.0,170850.0,174154.0,177193.0,179749.0,183153.0,187800.0
34,A,NR,F,TOTAL,IT,25526600.0,25705200.0,25869700.0,26059500.0,26257200.0,26498800.0,26710200.0,26916800.0,27106400.0,27268300.0,27425300.0,27567700.0,27689524.0,27896980.0,28088587.0,28286439.0,28451492.0,28598245.0,28725411.0,28837685.0,28929293.0,28994072.0,29036636.0,29062838.0,29069034.0,29087244.0,29097656.0,29101045.0,29113808.0,29138062.0,29166531.0,29196748.0,29218960.0,29249194.0,29266001.0,29275445.0,29283903.0,29309590.0,29332801.0,29345361.0,29360536.0,29384366.0,29402457.0,29471857.0,29650299.0,29830543.0,29925637.0,30011510.0,30241633.0,30430579.0,30540758.0,30649434.0,30667608.0,30795630.0,31298104.0,31294022.0,31209230.0,31143704.0,31056366.0,30685478.0,30591392.0,30369987.0,30211177.0,30182369.0
35,A,NR,F,TOTAL,LI,8342.0,8498.0,8695.0,8981.0,9223.0,9460.0,9704.0,9969.0,10217.0,10592.0,10871.0,10734.0,10991.0,11298.0,11640.0,11855.0,12036.0,12197.0,12470.0,12729.0,12913.0,12696.0,13228.0,13376.0,13520.0,13602.0,13833.0,14004.0,14187.0,14389.0,14533.0,14567.0,15011.0,15332.0,15535.0,15731.0,15823.0,15967.0,16113.0,16387.0,16650.0,16825.0,17088.0,17232.0,17413.0,17550.0,17701.0,17825.0,17908.0,17998.0,18125.0,18263.0,18433.0,18591.0,18729.0,18813.0,18962.0,19064.0,19224.0,19353.0,19532.0,19687.0,19812.0,19989.0
36,A,NR,F,TOTAL,LT,,,,,,,,,,,1656091.0,1676636.0,1694750.0,1710641.0,1725253.0,1739999.0,1753156.0,1767045.0,1779573.0,1792051.0,1801928.0,1811955.0,1823260.0,1837425.0,1852487.0,1866667.0,1882381.0,1900433.0,1917414.0,1935849.0,1946235.0,1950992.0,1953537.0,1947924.0,1937924.0,1925783.0,1913647.0,1902172.0,1890607.0,1878840.0,1867773.0,1856068.0,1841083.0,1830399.0,1814911.0,1792956.0,1761372.0,1743189.0,1725186.0,1710504.0,1691777.0,1645365.0,1620130.0,1603014.0,1587477.0,1575005.0,1558951.0,1535718.0,1511608.0,1498593.0,1489736.0,1482082.0,1499399.0,1521463.0
37,A,NR,F,TOTAL,LU,158478.0,159408.0,161500.0,163600.0,165100.0,167500.0,169100.0,170215.0,171000.0,171500.0,172307.0,173291.0,175227.0,176670.0,178490.0,180167.0,181557.0,182372.0,183289.0,183925.0,185475.0,186600.0,187550.0,187675.0,187877.0,188100.0,188700.0,189800.0,190888.0,192270.0,193948.0,196056.0,198398.0,200884.0,203640.0,206487.0,209588.0,212161.0,214687.0,217009.0,219985.0,222700.0,225226.0,227291.0,230252.0,233074.0,236986.0,240395.0,244192.0,248665.0,252660.0,257221.0,263033.0,268627.0,274563.0,280986.0,287056.0,294026.0,299425.0,305174.0,311144.0,315274.0,320333.0,328365.0
38,A,NR,F,TOTAL,LV,,,,,,,,,,,1278843.0,1285366.0,1293006.0,1301605.0,1312548.0,1322646.0,1331443.0,1338420.0,1345557.0,1351568.0,1354307.0,1356752.0,1361170.0,1367779.0,1375340.0,1382940.0,1391416.0,1402581.0,1416322.0,1427415.0,1427609.0,1421705.0,1414390.0,1386941.0,1365402.0,1346259.0,1330734.0,1318111.0,1305306.0,1293810.0,1284827.0,1270420.0,1254708.0,1244563.0,1232055.0,1217615.0,1205816.0,1195049.0,1184769.0,1170186.0,1149573.0,1126666.0,1110001.0,1097245.0,1084423.0,1074889.0,1064658.0,1054433.0,1044738.0,1035059.0,1026719.0,1017998.0,1006700.0,1010687.0
39,A,NR,F,TOTAL,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16930.0,17045.0,,,,,,,,,,,,,,,,,,
40,A,NR,F,TOTAL,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899612.0,1894500.0,1890261.0,1885004.0,1879021.0,1875595.0,1870568.0,1860080.0,1855244.0,1852581.0,1850208.0,1848324.0,1847816.0,1847151.0,1846128.0,1844915.0,,1843489.0,,,,1357200.0,,1325162.0
41,A,NR,F,TOTAL,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306100.0,307540.0,308794.0,309831.0,311009.0,311644.0,310980.0,312066.0,312344.0,313075.0,313778.0,313725.0,313949.0,314092.0,314366.0,314577.0,314484.0,314635.0,314618.0,314470.0,314318.0,313875.0,312509.0,312004.0
42,A,NR,F,TOTAL,MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966976.0,977388.0,984009.0,994484.0,1000065.0,1005439.0,1010106.0,1014875.0,1019035.0,1007766.0,1011232.0,1014051.0,1016116.0,1018202.0,1019938.0,1021815.0,1023907.0,1026404.0,1027868.0,1029156.0,1030928.0,1032654.0,1033677.0,1035089.0,1036018.0,1036932.0,1036539.0,1033590.0,926099.0,922921.0
